"날짜","출발지","도착지","일별이동횟수","유형","타입","수량"
"20170929","5211023","4294872",1,"N12","직송",30
"20170929","5244097","4024480",1,"N11","직송",156
"20170929","5279227","4259910",1,"N12","직송",12
"20170929","5282686","4108994",1,"N11","직송",35
"20171208","4013119","4176703",1,"N11","직송",256
"20171208","4024790","4066027",1,"N11","직송",256
"20171208","4027684","4065266",1,"N12","직송",23
"20171208","4082771","4184526",1,"N11","직송",144
"20171208","4082771","4270263",1,"N11","직송",144
"20171211","5280194","4078616",1,"N11","직송",80
"20171212","4082771","4185299",1,"N11","직송",50
"20171213","5096067","4177762",1,"N11","직송",15
"20171213","5186306","4175508",1,"N11","직송",178
"20180120","4024790","4169776",1,"N11","직송",256
"20180102","4142683","4163628",1,"N11","직송",18
"20180103","4008465","4226168",1,"N11","직송",288
"20180104","4290843","4032167",1,"N11","직송",192
"20180129","4220026","4224062",1,"N11","직송",240
"20180201","4082771","4213099",1,"N11","직송",192
"20180226","4024790","4256580",1,"N11","직송",256
"20180209","4082771","4276059",1,"N11","직송",96
"20180209","4170480","4012534",1,"N11","직송",256
"20180209","4170480","4279555",1,"N11","직송",156
"20180302","4116327","4185449",1,"N11","직송",192
"20180306","4053763","4243246",1,"N12","직송",192
"20180421","4024790","4137965",1,"N11","직송",288
"20180423","4082771","4081240",1,"N11","직송",288
"20180427","4127858","4280979",1,"N11","직송",288
"20180523","5285162","4100509",1,"N11","직송",245
"20180524","4002696","4304058",1,"N11","직송",288
"20180524","4035728","4215980",1,"N12","직송",256
"20180524","4056326","4227785",1,"N11","직송",256
"20180524","4084453","4205182",1,"N11","직송",288
"20180517","5138404","4024336",1,"N11","직송",192
"20180518","5138404","4024336",1,"N11","직송",192
"20180525","5285162","4100509",1,"N11","직송",183
"20180514","4082771","4175531",1,"N11","직송",288
"20180514","4082771","4183789",1,"N11","직송",288
"20180509","5186306","4208887",1,"N11","직송",20
"20180607","4024790","4109338",1,"N11","직송",192
"20180607","4082771","4069893",1,"N11","직송",144
"20170930","4017192","4039653",1,"N11","직송",92
"20171024","4082771","4165918",1,"N11","직송",192
"20171025","5138404","4024336",1,"N11","직송",192
"20171027","4082771","4093386",1,"N11","직송",144
"20171027","4082771","4209257",1,"N11","직송",144
"20171028","4024790","4081167",1,"N11","직송",288
"20171122","4082771","4100736",1,"N11","직송",192
"20171206","5209377","4175508",1,"N11","직송",100
"20171206","5222688","4092202",1,"N11","직송",4
"20171206","5229507","4092202",1,"N11","직송",6
"20171207","4024790","4295463",1,"N11","직송",288
"20171124","4082771","4191759",1,"N11","직송",192
"20171124","4183890","4296751",1,"N11","직송",256
"20171128","4025527","4190160",1,"N11","직송",256
"20171209","4024790","4169776",1,"N11","직송",256
"20171219","5056827","4002278",1,"N11","직송",119
"20171221","4024790","4233361",1,"N11","직송",224
"20180105","4024790","4048903",2,"N11","직송",544
"20180106","4024790","4048903",1,"N11","직송",288
"20180109","5254883","4035424",1,"N11","직송",552
"20180110","4056326","4097091",1,"N11","직송",288
"20180111","5254883","4035424",1,"N11","직송",276
"20180202","5254883","4112375",1,"N11","직송",276
